</,,,215,記号,括弧開,*,*,*,*,</,</,</
<,,,215,記号,括弧開,*,*,*,*,<,<,<
>,,,215,記号,括弧閉,*,*,*,*,>,>,>
",",,,215,記号,読点,*,*,*,*,",",",",","
.,,,215,記号,句点,*,*,*,*,.,.,.
